cust_id,state,checking,savings,primacy
148073,WA,5696.24,,True
647973,NY,973.49,,True
440527,NY,2990.41,2715.89,True
783325,OH,977.65,10.0,False
152401,OH,930.37,5097.37,False
398467,NY,1185.44,1749.61,True
834250,Other,1223.43,4270.69,False
826302,Other,1408.38,,False
736654,NY,6190.04,2853.92,True
162658,OH,1421.9,3886.18,False
603700,NY,278.61,1000.02,True
634292,OH,8364.14,5531.34,True
551114,PA,2227.38,,True
143102,NY,2606.89,5986.76,True
959709,NY,7360.19,,True
644848,PA,2941.8,,False
586511,NY,2554.38,,True
374198,WA,2385.71,5665.42,False
695569,OH,29.32,10.0,False
942552,CO,3601.44,10.0,True
726271,Other,732.29,5273.22,False
431729,NY,3912.13,,True
732445,OH,1206.98,,False
952683,Other,880.14,5078.7,True
495722,NY,2123.17,10.0,False
219280,NY,911.46,,False
167912,Other,532.78,10.0,True
121623,Other,249.58,10.0,False
827925,OH,5152.51,2239.09,True
994829,NY,1448.13,,False
307514,CO,530.32,10.0,True
711565,OH,888.16,,True
132841,OH,2890.53,385.03,True
734754,NY,285.36,,False
744591,OH,541.17,2860.98,True
512818,NY,863.77,,True
800486,OH,1805.57,2528.54,False
831805,OH,1430.39,860.7,True
857875,NY,910.44,1939.0,False
385089,NY,797.37,954.99,False
121016,CO,2202.47,10.0,True
628287,NY,2740.81,6423.34,True
842976,OH,300.7,,False
611176,NY,4344.29,2120.18,False
195896,OH,2335.8,1122.92,True
496511,Other,340.66,,False
449802,Other,5295.69,4993.88,True
385887,OH,472.76,,True
270761,CO,3443.2,6383.06,False
554418,Other,4639.33,10.0,True
564973,OH,2031.26,5867.27,True
877722,OH,339.53,10.0,False
772810,CO,2323.94,10.0,False
454915,NY,2329.16,403.01,True
975613,NY,2310.12,,False
983276,PA,107.46,10.0,False
150828,WA,3320.49,,True
546527,OH,1072.78,,True
657638,Other,8743.53,8638.3,True
349710,NY,1241.35,5075.4,True
410933,CO,6096.16,7583.36,True
279179,NY,4536.72,,True
333041,OH,122.47,720.76,False
957115,NY,243.67,10.0,False
601365,NY,2305.21,,False
827238,CO,1053.5,,False
938122,PA,4263.15,,True
167140,OH,271.96,10.0,False
936904,Other,399.98,10.0,False
712260,NY,6561.22,5001.51,True
551158,OH,4847.14,10.0,True
171757,OH,4063.31,,True
885839,OH,3058.03,10.0,True
644074,CO,2025.78,,True
357789,WA,2543.43,1383.43,True
958120,WA,1305.13,3551.91,True
821342,OH,2415.7,4048.25,True
576138,OH,9050.58,1363.25,True
857522,OH,21043.32,6747.94,True
497478,NY,1054.59,3445.97,True
977447,NY,1488.63,3438.58,False
540576,NY,248.5,4865.11,False
763666,NY,4280.19,,True
804344,NY,1620.4,2378.34,True
179892,CO,45.73,10.0,False
382033,Other,695.72,5017.28,False
665529,NY,389.78,4273.87,False
597671,NY,2320.56,,True
319398,OH,4615.45,465.53,True
220185,OH,687.5,,False
547208,Other,969.89,10.0,True
708715,Other,168.26,10.0,False
558896,PA,2813.2,10.0,False
813563,Other,3809.08,,False
997195,CO,4878.92,,False
524065,PA,2047.55,5474.73,True
261899,OH,2312.67,10.0,False
133604,OH,6232.6,10.0,True
881534,NY,1738.06,4907.41,False
386238,NY,727.74,,False
629480,NY,2363.65,2217.15,True
222141,Other,3553.49,113.62,True
436601,PA,1347.88,10.0,False
365871,Other,826.45,,False
362922,NY,1188.02,,False
950485,OH,2581.11,,False
361924,NY,4043.34,10.0,True
726330,OH,3109.79,1219.25,False
125384,NY,5622.6,7848.98,True
132951,CO,2637.43,5832.17,False
374854,OH,333.91,,False
197637,OH,818.82,10.0,False
173036,NY,7281.97,3956.11,True
601789,OH,355.53,3409.02,False
654489,CO,575.47,10.0,False
375593,Other,1565.79,,True
295347,NY,3961.98,,True
911444,OH,697.97,,False
936643,OH,893.88,4379.51,False
441415,NY,3188.13,5416.72,False
826354,CO,10396.77,,True
121414,WA,1323.06,,True
834475,NY,1029.12,10.0,False
328697,OH,2661.36,10.0,False
938314,OH,192.69,10.0,False
183039,NY,877.63,,False
729563,Other,1270.55,5100.36,False
174043,WA,5440.03,10.0,True
825325,OH,366.05,10.0,False
831204,WA,1146.92,,True
139243,OH,1920.12,10.0,True
191099,PA,216.69,4383.92,False
187733,NY,2104.46,10.0,True
988529,NY,218.45,150.71,False
303212,NY,3667.56,,True
603112,WA,1804.89,4784.77,True
934791,NY,1220.05,99.28,True
999434,NY,304.52,10.0,False
652513,NY,5541.8,5717.8,True
110626,WA,77.27,,False
820055,Other,856.01,4166.58,False
949880,NY,5280.65,6385.59,True
223035,NY,1063.45,10.0,False
715520,OH,5201.21,976.38,True
260638,NY,2219.18,548.24,False
432870,NY,878.94,10.0,True
136951,NY,4506.73,1058.57,True
796686,OH,1842.8,3673.51,True
242003,Other,1924.94,10.0,True
477877,OH,896.52,10.0,True
531861,OH,5385.08,7124.39,True
658441,NY,1848.45,,True
910194,PA,8405.93,544.67,True
965250,NY,5011.67,2464.2,True
314615,OH,1946.36,,True
255697,OH,2542.53,10.0,True
956162,NY,805.54,10.0,False
848479,NY,5880.38,3780.69,True
221638,NY,341.98,,False
259944,PA,616.42,10.0,False
453569,Other,2385.36,,True
950609,NY,5.52,,False
804638,OH,1166.73,,True
725373,OH,4320.12,1122.87,True
456389,NY,411.34,10.0,False
453100,WA,4608.17,,True
720632,NY,303.15,,False
612655,Other,2520.41,2574.8,True
368780,NY,236.46,10.0,False
266910,WA,3032.09,10.0,True
828383,NY,586.66,1859.05,False
543812,NY,1863.93,3115.71,True
465144,WA,819.97,,True
749878,OH,647.71,,False
158372,NY,7496.96,,True
521874,OH,1316.29,4923.63,False
358205,OH,1388.92,10.0,True
985582,Other,4024.81,10.0,True
833724,NY,3888.21,5847.48,True
145742,OH,1279.25,1634.1,False
329858,Other,1360.61,989.15,False
692887,NY,350.46,736.72,False
349300,CO,2676.72,10.0,True
490205,PA,134.13,10.0,False
453166,OH,394.5,10.0,False
101787,NY,125.79,10.0,False
898264,WA,48.4,3834.93,False
677064,NY,2443.89,4672.9,True
430015,OH,5355.65,7856.06,True
551094,PA,5002.42,7087.63,True
929169,NY,171.13,1179.94,False
625231,OH,85.69,10.0,False
464689,OH,95.81,,False
467228,CO,809.69,10.0,False
790785,NY,1486.42,10.0,False
359612,NY,2631.88,10.0,True
134833,CO,2690.35,2939.8,True
638556,NY,1062.76,10.0,False
991276,NY,133.38,10.0,False
927542,OH,1907.02,,True
357762,NY,2609.88,5576.9,True
137345,NY,1103.73,3748.02,False
117567,PA,2580.76,759.67,True
888923,NY,2362.26,,True
203704,NY,496.89,,False
386187,NY,1388.6,10.0,True
653833,Other,1231.58,,True
647602,WA,1463.84,,False
900322,OH,8556.84,408.29,True
903620,NY,1209.49,,False
623741,NY,28.95,,False
338398,PA,309.3,,False
545718,Other,381.52,10.0,False
721373,OH,9334.69,4177.06,True
862497,WA,7845.54,7182.73,True
113095,WA,4171.27,2763.82,True
999508,OH,76.15,,False
895767,NY,1185.8,75.11,False
828953,NY,5177.19,,True
354875,NY,5117.75,3988.57,True
873368,NY,891.62,10.0,False
603641,OH,3669.73,,True
567185,Other,1462.71,10.0,False
199520,OH,5539.64,,True
646155,WA,171.24,,False
259626,NY,1524.5,1020.34,False
675612,Other,1175.87,1650.82,False
102772,NY,3004.21,3120.82,True
773556,OH,2300.13,4787.12,False
842057,NY,1457.09,3766.4,True
650287,OH,385.59,2608.77,False
218237,OH,4364.46,3701.51,True
981458,NY,97.63,2451.3,False
150340,NY,6399.64,4677.31,True
379481,Other,705.36,2064.82,False
282741,CO,1294.19,10.0,True
487600,Other,12096.08,8478.25,True
354257,NY,2002.08,4130.4,True
543344,NY,1352.56,3751.87,False
226431,CO,3460.22,10.0,True
443172,NY,6660.42,370.82,True
553534,NY,286.6,,False
712215,PA,291.89,1172.88,False
816999,NY,1240.91,,False
827180,PA,1207.84,10.0,False
860921,NY,1554.62,10.0,True
479599,NY,3225.65,10.0,False
882361,NY,4359.75,,True
283916,WA,669.84,,False
548122,OH,3034.7,4985.15,True
457969,OH,5790.92,6050.68,True
349063,PA,868.08,3202.0,False
566682,Other,7.94,10.0,False
356528,NY,2537.83,,True
324288,Other,403.29,4559.81,False
128219,NY,3029.44,3785.06,True
864767,NY,69.52,1001.79,False
969620,OH,345.68,,False
156861,NY,6695.71,2204.19,True
170046,Other,2065.96,1703.54,True
690106,NY,2889.97,10.0,False
174302,NY,281.65,4255.56,False
255267,NY,4946.0,,True
299734,OH,934.77,1992.12,False
361288,NY,130.31,,False
482064,NY,2096.46,3723.7,False
397817,WA,78.85,10.0,False
715903,NY,202.43,10.0,False
315837,OH,5528.75,7026.66,True
546385,Other,8705.11,2297.35,True
945768,NY,176.18,,False
813851,NY,756.78,,False
614484,NY,1161.35,5204.15,True
575831,WA,2933.74,6403.27,True
332692,NY,2391.29,1617.5,True
404160,OH,1417.93,10.0,False
394107,CO,3956.73,5111.76,True
102442,CO,7538.14,,True
708393,OH,1318.42,3037.27,False
630921,NY,1733.1,,False
813930,OH,706.35,,False
713024,NY,1332.88,,True
871366,OH,1453.83,651.44,True
579593,OH,3191.64,10.0,True
809416,NY,3850.13,,True
595049,OH,2491.9,1075.14,True
645871,CO,262.34,10.0,False
333446,PA,2990.37,,True
779504,OH,986.4,,True
815901,OH,2102.05,10.0,False
547263,Other,1544.57,10.0,True
468694,OH,2095.72,991.92,True
378915,OH,506.63,3240.13,True
144942,NY,2088.59,2854.28,True
110322,OH,1484.15,10.0,True
437791,Other,4810.18,2470.84,True
359867,OH,4341.16,10.0,True
954057,NY,45.48,10.0,False
557136,NY,4458.13,,True
164717,OH,1375.98,10.0,False
978448,NY,1128.94,,True
563416,CO,2619.97,,True
758762,NY,1957.81,,False
904769,Other,3456.38,,True
739474,OH,2760.77,10.0,True
838919,OH,1621.4,10.0,True
371523,CO,976.25,1461.37,False
836048,OH,1921.19,,True
